theater_id,theater_sort,theater_name,location_group,msa_id,dma_id,seats,posted_capacity,highcap,lowcap
58,58,Auditorium Theatre,Touring House,,,1550,Capacity: 1550,,1550
59,59,August Wilson,Broadway,,,1275,Capacity: 1275,,1275
60,60,Aurora - Mainstage,Regional,,,0,Capacity: 0,,0
61,61,Avery Fisher Hall,Special Attraction,,,2738,Capacity: 2738,,2738
62,62,Axis,Off-Broadway,,,199,Capacity: 199,,199
63,63,BAM Harvey,Regional,,,0,Capacity: 0,,0
64,64,Bank of America Theatre,Touring House,,,2016,Capacity: 2016,,2016
65,65,Bank Street Theater,Off-Broadway,,,90,Capacity: 90,,90
66,66,Barbara B. Mann PAC,Touring House,,,1871,Capacity: 1871,,1871
67,67,Barrington Stage - Mainstage,Regional,,,0,Capacity: 0,,0
68,68,Barrow Street Theatre,Off-Broadway,,,199,Capacity: 199,,199
69,69,Bass Concert Hall,Touring House,,,2900,Capacity: 2900,,2900
70,70,Bass Hall,Touring House,,,2056,Capacity: 2056,,2056
71,71,Bay Street Theatre,Regional,,,299,Capacity: 299,,299
72,72,Belasco,Broadway,,,1016,Capacity: 1016,,1016
73,73,Belk Theatre - Blumenthal,Touring House,,,2097,Capacity: 2097,,2097
74,74,Benedum Center for the Arts,Touring House,,,2800,Capacity: 2800,,2800
75,75,Berkeley Repertory Theatre - Roda,Regional,,,558,Capacity: 558,,558
76,76,Berkely Rep - Peet's,Regional,,,0,Capacity: 0,,0
77,77,Berkely Rep - Thrust,Regional,,,0,Capacity: 0,,0
78,78,Bernard Jacobs,Broadway,,,1078,Capacity: 1078,,1078
79,79,Birmingham Jefferson - Concert Hall,Touring House,,,2835,Capacity: 2835,,2835
80,80,Blaisdell Concert Hall,Touring House,,,2158,Capacity: 2158,,2158
81,81,Blumenthal Arts - Ovens,Touring House,,,0,Capacity: 0,,0
82,82,Bologna PAC,Touring House,,,0,Capacity: 0,,0
83,83,Booth,Broadway,,,780,Capacity: 780,,780
84,84,Boston Opera House,Touring House,,,2677,Capacity: 2677,,2677
85,85,Boston University Theatre,Regional,,,,Capacity:,,
86,86,Broad Stage,Touring House,,,0,Capacity: 0,,0
87,87,Broadhurst,Broadway,,,1186,Capacity: 1186,,1186
88,88,Broadway,Broadway,,,1761,Capacity: 1761,,1761
89,89,Broadway Playhouse,Touring House,,,0,Capacity: 0,,0
90,90,Centennial Hall,Touring House,,,2526,Capacity: 2526,,2526
91,91,Brooks Atkinson,Broadway,,,1044,Capacity: 1044,,1044
92,92,Budweiser Gardens,Touring House,,,0,Capacity: 0,,0
93,93,Burton Cummings Theatre,Touring House,,,0,Capacity: 0,,0
94,94,Cadillac Palace Theatre,Touring House,,,2344,Capacity: 2344,,2344
95,95,Capitol Theatre,Touring House,,,0,Capacity: 0,,0
96,96,Capitol Theatre (UT),Touring House,,,1876,Capacity: 1876,,1876
97,97,Castillo Theatre,Off-Broadway,,,0,Capacity: 0,,0
98,98,Centennial Concert Hall (Winnipeg),Touring House,,,2305,Capacity: 2305,,2305
99,99,Center for the Performing Arts,Touring House,,,2665,Capacity: 2665,,2665
100,100,Centerstage,Regional,,,0,Capacity: 0,,0
101,101,Centre in the Square,Touring House,,,2047,Capacity: 2047,,2047
102,102,Century II Performing Arts and Convention Center,Touring House,,,2178,Capacity: 2178,,2178
103,103,Cherry Lane - Mainstage,Off-Broadway,,,179,Capacity: 179,,179
104,104,Cherry Lane - Studio,Off-Broadway,,,60,Capacity: 60,,60
105,105,Chicago Shakespeare Theater,Regional,,,0,Capacity: 0,,0
106,106,Chicago Theatre,Regional,,,,Capacity:,,
107,107,Chico State,Touring House,,,0,Capacity: 0,,0
108,108,Children's Theatre Company,Regional,,,0,Capacity: 0,,0
109,109,Chrysler Hall,Touring House,,,2500,Capacity: 2500,,2500
110,110,Cincinnati Playhouse in the Park - Thompson Shelterhouse,Regional,,,225,Capacity: 225,,225
111,111,Circle in the Square,Broadway,,,623,Capacity: 623,,623
112,112,Citadel - Shoctor,Regional,,,681,Capacity: 681,,681
113,113,City Center - Mainstage,Special Attraction,,,2257,Capacity: 2257,,2257
114,114,City Theatre,Regional,,,254,Capacity: 254,,254
115,115,CityRep,Regional,,,0,Capacity: 0,,0
116,116,Civic Center,Touring House,,,0,Capacity: 0,,0
117,117,Civic Center,Touring House,,,2744,Capacity: 2744,,2744
118,118,Civic Center Music Hall,Touring House,,,2477,Capacity: 2477,,2477
119,119,Civic Theatre,Regional,,,2967,Capacity: 2967,,2967
120,120,Claire Tow,Off-Broadway,,,131,Capacity: 131,,131
121,121,Classic Stage Company,Off-Broadway,,,199,Capacity: 199,,199
122,122,Clemens Center,Touring House,,,0,Capacity: 0,,0
123,123,Clowes Memorial Hall,Touring House,,,2172,Capacity: 2172,,2172
124,124,Colonial Emerson Theatre - Citi PAC,Touring House,,,1700,Capacity: 1700,,1700
125,125,Colonial Theatre,Touring House,,,0,Capacity: 0,,0
126,126,Community Center Theatre,Touring House,,,2452,Capacity: 2452,,2452
127,127,Conexus Arts Centre,Touring House,,,0,Capacity: 0,,0
128,128,Connelly Theater,Off-Broadway,,,150,Capacity: 150,,150
129,129,Copaken Stage,Regional,,,0,Capacity: 0,,0
130,130,Cort,Broadway,,,1082,Capacity: 1082,,1082
131,131,Count Basie Theatre,Touring House,,,0,Capacity: 0,,0
132,132,Craterian,Touring House,,,0,Capacity: 0,,0
133,133,Cross Insurance Center,Touring House,,,0,Capacity: 0,,0
134,134,Crouse Hinds Theater,Touring House,,,0,Capacity: 0,,0
135,135,Crouse Performance Hall,Touring House,,,0,Capacity: 0,,0
136,136,Crown Theater,Special Attraction,,,0,Capacity: 0,,0
137,137,Culture Project - The Lynn Redgrave Theatre,Off-Broadway,,,199,Capacity: 199,,199
138,138,Curran Theater,Touring House,,,1664,Capacity: 1664,,1664
139,139,Daryl Roth,Off-Broadway,,,299,Capacity: 299,,299
140,140,Davenport - Upstairs,Off-Broadway,,,73,Capacity: 73,,73
141,141,Davenport Theatre - Mainstage,Off-Broadway,,,199,Capacity: 199,,199
142,142,Delacorte,Special Attraction,,,1800,Capacity: 1800,,1800
143,143,Denver Center - Buell Theatre,Touring House,,,2884,Capacity: 2884,,2884
144,144,Denver Center - Ellie Caulkins Opera,Touring House,,,2225,Capacity: 2225,,2225
145,145,Denver Center - Ricketson,Regional,,,250,Capacity: 250,,250
146,146,Denver Center - Space,Regional,,,550,Capacity: 550,,550
147,147,Denver Center - Stage,Regional,,,750,Capacity: 750,,750
148,148,Detroit Opera House,Regional,,,2700,Capacity: 2700,,2700
149,149,DeVos Place Performance Hall,Touring House,,,2404,Capacity: 2404,,2404
150,150,Dorset Playhouse,Regional,,,0,Capacity: 0,,0
151,151,Dr Phillips Center,Touring House,,,2700,Capacity: 2700,,2700
152,152,DR2 Theatre,Off-Broadway,,,99,Capacity: 99,,99
153,153,Drury Lane,Touring House,,,0,Capacity: 0,,0
154,154,Duke on 42nd St,Off-Broadway,,,200,Capacity: 200,,200
155,155,Durham Performing Arts Center,Touring House,,,2712,Capacity: 2712,,2712
156,156,Eccles,Touring House,,,0,Capacity: 0,,0
157,157,Ed Mirvish Theatre,Touring House,,,2200,Capacity: 2200,,2200
158,158,Eisenhower Auditorium,Touring House,,,,Capacity:,,
159,159,EKU Center,Touring House,,,0,Capacity: 0,,0
160,160,Elektra,Off-Broadway,,,199,Capacity: 199,,199
161,161,Elgin Theatre,Touring House,,,0,Capacity: 0,,0
162,162,Embassy Theatre,Touring House,,,0,Capacity: 0,,0
163,163,Emens Auditorium,Touring House,,,0,Capacity: 0,,0
164,164,Enmax Centre,Touring House,,,0,Capacity: 0,,0
165,165,Ensemble Studio Theatre,Off-Broadway,,,74,Capacity: 74,,74
166,166,Esplande Arts,Touring House,,,0,Capacity: 0,,0
167,167,Ethel Barrymore,Broadway,,,1058,Capacity: 1058,,1058
168,168,Eugene O'Neill,Broadway,,,1108,Capacity: 1108,,1108
169,169,Fargodome,Touring House,,,0,Capacity: 0,,0
170,170,Ferguson Center for the Arts,Touring House,,,,Capacity:,,
171,171,Fisher Theatre,Arts Venue,,,2089,Capacity: 2089,,2089
172,172,Flat Rock Playhouse,Regional,,,0,Capacity: 0,,0
173,173,Flea - Sam,Off-Broadway,,,120,Capacity: 120,,120
174,174,Flea - Siggy,Off-Broadway,,,44,Capacity: 44,,44
175,175,Florida Theatre,Touring House,,,0,Capacity: 0,,0
176,176,Ford's Theatre,Regional,,,661,Capacity: 661,,661
177,177,Forrest Theatre,Regional,,,1851,Capacity: 1851,,1851
178,178,Fox Cities PAC,Regional,,,2072,Capacity: 2072,,2072
179,179,Fox Performing Arts Center,Touring House,,,0,Capacity: 0,,0
180,180,Fox Theatre,Touring House,,,4500,Capacity: 4500,,4500
181,181,Fox Theatre,Touring House,,,0,Capacity: 0,,0
182,182,Fox Theatre,Touring House,,,4678,Capacity: 4678,,4678
183,183,FSU - Mertz,Regional,,,0,Capacity: 0,,0
184,184,Gaillard Auditorium,Touring House,,,0,Capacity: 0,,0
185,185,Gallo Center for the Arts,Touring House,,,,Capacity:,,
186,186,Geffen - Skirball Kenis,Regional,,,0,Capacity: 0,,0
187,187,Gene Frankel Theatre,Off-Broadway,,,70,Capacity: 70,,70
188,188,George Street Playhouse,Regional,,,375,Capacity: 375,,375
189,189,Gerald Schoenfeld,Broadway,,,1079,Capacity: 1079,,1079
190,190,Gershwin,Broadway,,,1933,Capacity: 1933,,1933
191,191,Geva - Fielding Nextstage,Regional,,,0,Capacity: 0,,0
192,192,Gil Cates,Regional,,,,Capacity:,,
193,193,Golden Gate Theater,Touring House,,,2297,Capacity: 2297,,2297
194,194,Goode,Regional,,,0,Capacity: 0,,0
195,195,Goodman Theatre - Albert Iver Goodman,Regional,,,800,Capacity: 800,,800
196,196,Goodman Theatre - Owen,Regional,,,400,Capacity: 400,,400
197,197,Goodspeed - Norma Terris,Regional,,,200,Capacity: 200,,200
198,198,Goodspeed Opera House,Regional,,,398,Capacity: 398,,398
199,199,Granada Theatre,Touring House,,,0,Capacity: 0,,0
200,200,Grand Hall,Off-Broadway,,,0,Capacity: 0,,0
201,201,Grand Theater,Touring House,,,0,Capacity: 0,,0
202,202,Guthrie - McGuire Proscenium,Regional,,,700,Capacity: 700,,700
203,203,Hammons Hall,Touring House,,,0,Capacity: 0,,0
204,204,Hancher,Touring House,,,0,Capacity: 0,,0
205,205,Hanover Theatre,Touring House,,,2300,Capacity: 2300,,2300
206,206,Harris Center,Touring House,,,0,Capacity: 0,,0
207,207,Hartford Stage,Regional,,,489,Capacity: 489,,489
208,208,Heinz Hall,Special Attraction,,,2676,Capacity: 2676,,2676
209,209,Helen Hayes,Broadway,,,597,Capacity: 597,,597
210,210,Herberger Theater Center,Regional,,,0,Capacity: 0,,0
211,211,HERE,Off-Broadway,,,150,Capacity: 150,,150
212,212,Hershey Theatre,Regional,,,1904,Capacity: 1904,,1904
213,213,Hippodrome,Touring House,,,2300,Capacity: 2300,,2300
214,214,Hobby Center - TUTS,Touring House,,,3150,Capacity: 3150,,3150
215,215,Honeywell Center,Touring House,,,0,Capacity: 0,,0
216,216,Hoyt Sherman Place,Touring House,,,0,Capacity: 0,,0
217,217,Hudson,Broadway,,,700,Capacity: 700,,700
218,218,Hudson Mainstage,Regional,,,0,Capacity: 0,,0
219,219,Hult Center,Touring House,,,0,Capacity: 0,,0
220,220,Human Race Theatre Company,Regional,,,0,Capacity: 0,,0
221,221,Huntington - Wimberly,Regional,,,370,Capacity: 370,,370
222,222,IATI,Off-Broadway,,,0,Capacity: 0,,0
223,223,Imperial,Broadway,,,1425,Capacity: 1425,,1425
224,224,INB Performing Arts Center (Inland Northwest Bank),Touring House,,,2700,Capacity: 2700,,2700
225,225,Intar Theatre,Off-Broadway,,,0,Capacity: 0,,0
226,226,Irish Rep - Mainstage,Off-Broadway,,,137,Capacity: 137,,137
227,227,Irish Rep - McLucas Studio,Off-Broadway,,,0,Capacity: 0,,0
228,228,Irondale Center,Off-Broadway,,,250,Capacity: 250,,250
229,229,Irving Arts Center - Carpenter,Regional,,,0,Capacity: 0,,0
230,230,IU Auditorium,Touring House,,,0,Capacity: 0,,0
231,231,John Golden,Broadway,,,804,Capacity: 804,,804
232,232,Kansas City Starlight Theatre,Regional,,,7958,Capacity: 7958,,7958
233,233,Kauffman Center for the Performing Arts,Arts Venue,,,,Capacity:,,
234,234,Keller Auditorium,Touring House,,,2992,Capacity: 2992,,2992
235,235,Kennedy Center - Eisenhower,Regional,,,1161,Capacity: 1161,,1161
236,236,Kennedy Center - Opera House,Special Attraction,,,2364,Capacity: 2364,,2364
237,237,Kent State Performing Arts Center,Arts Venue,,,0,Capacity: 0,,0
238,238,Kimmel Center - Verizon Hall,Regional,,,2500,Capacity: 2500,,2500
239,239,Kingsbury Hall,Touring House,,,0,Capacity: 0,,0
240,240,Kirk Douglas,Regional,,,0,Capacity: 0,,0
241,241,Knight Theater,Arts Venue,,,,Capacity:,,
242,242,Koger Center,Touring House,,,2254,Capacity: 2254,,2254
243,243,Kravis Center,Touring House,,,2195,Capacity: 2195,,2195
244,244,La Jolla Playhouse - Mandel Weiss Theatre,Regional,,,492,Capacity: 492,,492
245,245,La Jolla Playhouse - Potiker,Regional,,,450,Capacity: 450,,450
246,246,La MaMa,Off-Broadway,,,0,Capacity: 0,,0
247,247,La Miranda Theatre,Touring House,,,,Capacity:,,
248,248,Landmark Theater (VA),Touring House,,,3565,Capacity: 3565,,3565
249,249,Landmark Theatre,Touring House,,,3000,Capacity: 3000,,3000
250,250,Langham Place,Special Attraction,,,0,Capacity: 0,,0
251,251,Le Poisson Rouge,Special Attraction,,,0,Capacity: 0,,0
252,252,Lees Main Stage,Regional,,,932,Capacity: 932,,932
253,253,Lied Center,Touring House,,,0,Capacity: 0,,0
254,254,Long Wharf Theatre - Mainstage,Regional,,,436,Capacity: 436,,436
255,255,Long Wharf Theatre - Stage II,Regional,,,204,Capacity: 204,,204
256,256,Longacre,Broadway,,,1096,Capacity: 1096,,1096
257,257,Lookingglass,Regional,,,270,Capacity: 270,,270
258,258,Lubbock Memorial Civic Center,Touring House,,,0,Capacity: 0,,0
259,259,Lucie Stern Theatre,Regional,,,0,Capacity: 0,,0
260,260,Lucille Lortel,Off-Broadway,,,299,Capacity: 299,,299
261,261,Lunt-Fontanne,Broadway,,,1475,Capacity: 1475,,1475
262,262,Lutcher Theater,Touring House,,,0,Capacity: 0,,0
263,263,Lyceum,Broadway,,,922,Capacity: 922,,922
264,264,Lyric Theatre,Broadway,,,1813,Capacity: 1813,,1813
265,265,Magic Theatre,Regional,,,0,Capacity: 0,,0
266,266,Mahaffey Theater,Touring House,,,0,Capacity: 0,,0
267,267,Majestic,Broadway,,,1645,Capacity: 1645,,1645
268,268,Majestic Theatre,Touring House,,,2264,Capacity: 2264,,2264
269,269,Marcus Center - Uihlein Hall,Regional,,,2305,Capacity: 2305,,2305
270,270,Mark Taper Forum,Regional,,,739,Capacity: 739,,739
271,271,Marquis,Broadway,,,1604,Capacity: 1604,,1604
272,272,Marx,Regional,,,,Capacity:,,
273,273,Mathis Municipal Auditorium,Touring House,,,1192,Capacity: 1192,,1192
274,274,Mattie Kelly Arts Center,Touring House,,,0,Capacity: 0,,0
275,275,Maumelle PAC,Touring House,,,0,Capacity: 0,,0
276,276,Mayo Arts Center,Touring House,,,0,Capacity: 0,,0
277,277,MCC Theater,Off-Broadway,,,0,Capacity: 0,,0
278,278,McCain Auditorium,Arts Venue,,,,Capacity:,,
279,279,McCallum Theatre,Touring House,,,1127,Capacity: 1127,,1127
280,280,McCarter Theatre - Berlind,Regional,,,373,Capacity: 373,,373
281,281,McCarter Theatre - Matthews,Regional,,,1100,Capacity: 1100,,1100
282,282,McKittrick Hotel,Off-Broadway,,,450,Capacity: 450,,450
283,283,Memorial Auditorium - Duke Energy Center,Regional,,,2277,Capacity: 2277,,2277
284,284,Memorial Hall,Touring House,,,0,Capacity: 0,,0
285,285,Merrill Auditorium,Arts Venue,,,,Capacity:,,
286,286,Merrimack Repertory,Regional,,,0,Capacity: 0,,0
287,287,Midland Center,Touring House,,,0,Capacity: 0,,0
288,288,Miller Auditorium,Touring House,,,3497,Capacity: 3497,,3497
289,289,Milwaukee Repertory,Regional,,,0,Capacity: 0,,0
290,290,Minetta Lane,Off-Broadway,,,393,Capacity: 393,,393
291,291,Minskoff,Broadway,,,1710,Capacity: 1710,,1710
292,292,Mint,Off-Broadway,,,99,Capacity: 99,,99
293,293,Mitzi E Newhouse,Off-Broadway,,,299,Capacity: 299,,299
294,294,Morris Performing Arts Center,Touring House,,,2564,Capacity: 2564,,2564
295,295,Morrison Center,Touring House,,,2037,Capacity: 2037,,2037
296,296,Morse PAC,Touring House,,,0,Capacity: 0,,0
297,297,Mountain View Center,Regional,,,600,Capacity: 600,,600
298,298,MTC - City Center - Stage I,Off-Broadway,,,299,Capacity: 299,,299
299,299,MTC - City Center - Stage II,Off-Broadway,,,150,Capacity: 150,,150
300,300,Murat at Old National Centre,Touring House,,,2500,Capacity: 2500,,2500
301,301,Music Box,Broadway,,,1009,Capacity: 1009,,1009
302,302,Music Hall,Arts Venue,,,,Capacity:,,
303,303,Music Hall Kansas City,Touring House,,,2363,Capacity: 2363,,2363
304,304,National Arts Centre,Special Attraction,,,2323,Capacity: 2323,,2323
305,305,National Black Theatre,Off-Broadway,,,0,Capacity: 0,,0
306,306,National Theatre,Regional,,,1705,Capacity: 1705,,1705
307,307,NC Stage,Regional,,,125,Capacity: 125,,125
308,308,Nederlander,Broadway,,,1203,Capacity: 1203,,1203
309,309,Neil Simon,Broadway,,,1297,Capacity: 1297,,1297
310,310,New Amsterdam,Broadway,,,1747,Capacity: 1747,,1747
311,311,New Ohio,Off-Broadway,,,75,Capacity: 75,,75
312,312,New World Stages - Stage 1,Off-Broadway,,,499,Capacity: 499,,499
313,313,New World Stages - Stage 3,Off-Broadway,,,499,Capacity: 499,,499
314,314,New World Stages - Stage 4,Off-Broadway,,,350,Capacity: 350,,350
315,315,New World Stages - Stage 5,Off-Broadway,,,199,Capacity: 199,,199
316,316,New York Theatre Workshop,Off-Broadway,,,199,Capacity: 199,,199
317,317,NIACC,Touring House,,,0,Capacity: 0,,0
318,318,North Charleston Coliseum PAC,Touring House,,,2341,Capacity: 2341,,2341
319,319,Northern Alberta Jubilee Auditorium,Touring House,,,2514,Capacity: 2514,,2514
320,320,Northlight Theatre,Arts Venue,,,0,Capacity: 0,,0
321,321,Norton Center,Touring House,,,0,Capacity: 0,,0
322,322,NYTW - 4th Street,Off-Broadway,,,60,Capacity: 60,,60
323,323,Oakdale Theatre,Touring House,,,0,Capacity: 0,,0
324,324,Ogdensburg Command Performance,Touring House,,,0,Capacity: 0,,0
325,325,Ohio Theatre,Touring House,,,2791,Capacity: 2791,,2791
326,326,Oklahoma City Civic Center,Regional,,,,Capacity:,,
327,327,Ordway Theater,Regional,,,1900,Capacity: 1900,,1900
328,328,Oregon Shakespeare - Bowmer,Regional,,,0,Capacity: 0,,0
329,329,Oriental Theatre - Ford Center,Touring House,,,2253,Capacity: 2253,,2253
330,330,Orix Theater,Touring House,,,0,Capacity: 0,,0
331,331,Orpheum,Touring House,,,0,Capacity: 0,,0
332,332,Orpheum,Touring House,,,1364,Capacity: 1364,,1364
333,333,Orpheum (NY),Off-Broadway,,,347,Capacity: 347,,347
334,334,Orpheum (San Fran),Touring House,,,2200,Capacity: 2200,,2200
335,335,Orpheum (Sioux City),Touring House,,,0,Capacity: 0,,0
336,336,Orpheum Theater (MN),Touring House,,,2579,Capacity: 2579,,2579
337,337,Orpheum Theater (Omaha),Touring House,,,2600,Capacity: 2600,,2600
338,338,Orpheum Theatre (TN),Touring House,,,2400,Capacity: 2400,,2400
339,339,Ovens Auditorium,Touring House,,,2403,Capacity: 2403,,2403
340,340,Overture Center for the Arts,Arts Venue,,,2251,Capacity: 2251,,2251
341,341,Palace,Broadway,,,1784,Capacity: 1784,,1784
342,342,Palace Theater (CT),Touring House,,,2565,Capacity: 2565,,2565
343,343,Palace Theatre (Albany),Touring House,,,0,Capacity: 0,,0
344,344,Palace Theatre (OH),Touring House,,,2827,Capacity: 2827,,2827
345,345,Panasonic Theatre,Touring House,,,0,Capacity: 0,,0
346,346,Pantages Hollywood,Regional,,,2700,Capacity: 2700,,2700
347,347,Paper Mill Playhouse,Regional,,,0,Capacity: 0,,0
348,348,Paramount,Touring House,,,0,Capacity: 0,,0
349,349,Paramount (WA),Touring House,,,2807,Capacity: 2807,,2807
350,350,Paramount Center,Touring House,,,0,Capacity: 0,,0
351,351,Park Avenue Armory - Wade Thompson Drill Hall,Special Attraction,,,1500,Capacity: 1500,,1500
352,352,Pasadena Playhouse,Regional,,,686,Capacity: 686,,686
353,353,Peabody Auditorium,Touring House,,,0,Capacity: 0,,0
354,354,Peabody Opera House,Touring House,,,3500,Capacity: 3500,,3500
355,355,Peace Concert Hall,Touring House,,,2100,Capacity: 2100,,2100
356,356,Pearl Theatre,Off-Broadway,,,160,Capacity: 160,,160
357,357,Peoria Civic Center,Touring House,,,2244,Capacity: 2244,,2244
358,358,Pershing Square Signature Center - Diamond,Off-Broadway,,,299,Capacity: 299,,299
359,359,Pershing Square Signature Center - Griffin,Off-Broadway,,,199,Capacity: 199,,199
360,360,Pershing Square Signature Center - Linney,Off-Broadway,,,199,Capacity: 199,,199
361,361,Pershing Square Signature Center - Studio,Off-Broadway,,,90,Capacity: 90,,90
362,362,Phillips PAC,Touring House,,,0,Capacity: 0,,0
363,363,Pikes Peak Center,Touring House,,,0,Capacity: 0,,0
364,364,Pioneer Center,Touring House,,,0,Capacity: 0,,0
365,365,Pittsburgh Public Theater - O'Reilly Theater,Regional,,,0,Capacity: 0,,0
366,366,Place Des Arts Pelletier,Touring House,,,2982,Capacity: 2982,,2982
367,367,Playhouse Square,Touring House,,,0,Capacity: 0,,0
368,368,PlayhouseSquare - Connor Palace,Touring House,,,2800,Capacity: 2800,,2800
369,369,PlayhouseSquare - Palace Theater,Regional,,,2714,Capacity: 2714,,2714
370,370,PlayhouseSquare - State Theater,Touring House,,,3200,Capacity: 3200,,3200
371,371,Playwrights Horizons - Mainstage,Off-Broadway,,,198,Capacity: 198,,198
372,372,Playwrights Horizons - Peter Jay Sharp,Off-Broadway,,,128,Capacity: 128,,128
373,373,Polonsky Shakespeare Center,Special Attraction,,,299,Capacity: 299,,299
374,374,Popejoy Hall,Special Attraction,,,1999,Capacity: 1999,,1999
375,375,Portland Center Stage - Ellyn Bye Studio,Regional,,,0,Capacity: 0,,0
376,376,Powerhouse Theater @ Vogelstein Center,Special Attraction,,,720,Capacity: 720,,720
377,377,Primary Stages,Off-Broadway,,,0,Capacity: 0,,0
378,378,Princess of Wales,Regional,,,2000,Capacity: 2000,,2000
379,379,Proctor's Theatre,Touring House,,,2646,Capacity: 2646,,2646
380,380,Providence PAC,Touring House,,,3000,Capacity: 3000,,3000
381,381,Public - Anspacher,Off-Broadway,,,275,Capacity: 275,,275
382,382,Public - Joe's Pub,Off-Broadway,,,275,Capacity: 275,,275
383,383,Public - LuEsther Hall,Off-Broadway,,,160,Capacity: 160,,160
384,384,Public - Martinson,Off-Broadway,,,199,Capacity: 199,,199
385,385,Public - Newman,Off-Broadway,,,299,Capacity: 299,,299
386,386,Public - Shiva,Off-Broadway,,,99,Capacity: 99,,99
387,387,Queen Elizabeth Theatre (Civic Theatres),Touring House,,,2781,Capacity: 2781,,2781
388,388,Quintero,Regional,,,0,Capacity: 0,,0
